0.001414, -5.314640, 1.834849, -0.881155, 0.073173, 0.422628, -0.108565
0.006152, -5.314636, 1.837486, -0.881285, 0.073205, 0.422623, -0.108636
0.010853, -5.314636, 1.837486, -0.881285, 0.073205, 0.422623, -0.108636
0.015711, -5.314636, 1.837486, -0.881285, 0.073205, 0.422623, -0.108636
0.020578, -5.314588, 1.834883, -0.881159, 0.073403, 0.422627, -0.108565
0.025456, -5.314640, 1.834849, -0.881155, 0.073173, 0.422628, -0.108565
0.030328, -5.314628, 1.837396, -0.885244, 0.073204, 0.422489, -0.108634
0.035204, -5.314602, 1.837395, -0.881240, 0.073318, 0.422422, -0.108635
0.039995, -5.314628, 1.837396, -0.885244, 0.073204, 0.422489, -0.108634
0.044737, -5.314636, 1.837486, -0.881285, 0.073205, 0.422623, -0.108636
0.049464, -5.314615, 1.834884, -0.885164, 0.073289, 0.422694, -0.108564
0.054204, -5.314607, 1.834794, -0.889123, 0.073288, 0.422560, -0.108562
0.059076, -5.314636, 1.837486, -0.881285, 0.073205, 0.422623, -0.108636
0.063897, -5.314636, 1.837486, -0.881285, 0.073205, 0.422623, -0.108636
0.068646, -5.314632, 1.834758, -0.885115, 0.073172, 0.422494, -0.108563
0.073348, -5.314615, 1.834884, -0.885164, 0.073289, 0.422694, -0.108564
0.078087, -5.312414, 1.833489, -0.881239, 0.073267, 0.422403, -0.108632
0.082797, -5.314632, 1.834758, -0.885115, 0.073172, 0.422494, -0.108563
0.087546, -5.314628, 1.837396, -0.885244, 0.073204, 0.422489, -0.108634
0.092396, -5.314628, 1.837396, -0.885244, 0.073204, 0.422489, -0.108634
0.097245, -5.314604, 1.837431, -0.889253, 0.073320, 0.422555, -0.108633
0.102108, -5.314604, 1.837431, -0.889253, 0.073320, 0.422555, -0.108633
0.106827, -5.314632, 1.834758, -0.885115, 0.073172, 0.422494, -0.108563
0.111519, -5.314632, 1.834758, -0.885115, 0.073172, 0.422494, -0.108563
0.116270, -5.314602, 1.837395, -0.881240, 0.073318, 0.422422, -0.108635
0.120985, -5.314612, 1.837521, -0.885293, 0.073321, 0.422689, -0.108635
0.125744, -5.314604, 1.837431, -0.889253, 0.073320, 0.422555, -0.108633
0.130582, -5.314612, 1.837521, -0.885293, 0.073321, 0.422689, -0.108635
0.135341, -5.314610, 1.837485, -0.877280, 0.073319, 0.422556, -0.108637
0.140183, -5.314640, 1.834849, -0.881155, 0.073173, 0.422628, -0.108565
0.145005, -5.314580, 1.834793, -0.885119, 0.073402, 0.422493, -0.108562
0.149760, -5.312424, 1.833615, -0.885292, 0.073270, 0.422670, -0.108633
0.154609, -5.314615, 1.834884, -0.885164, 0.073289, 0.422694, -0.108564
0.159467, -5.314636, 1.837486, -0.881285, 0.073205, 0.422623, -0.108636
0.163973, -5.314636, 1.837486, -0.881285, 0.073205, 0.422623, -0.108636
0.168753, -5.314628, 1.837396, -0.885244, 0.073204, 0.422489, -0.108634
0.173627, -5.314615, 1.834884, -0.885164, 0.073289, 0.422694, -0.108564
0.178508, -5.314632, 1.834758, -0.885115, 0.073172, 0.422494, -0.108563
0.183405, -5.314640, 1.834849, -0.881155, 0.073173, 0.422628, -0.108565
0.188238, -5.312449, 1.833580, -0.881284, 0.073154, 0.422604, -0.108634
0.193103, -5.312441, 1.833490, -0.885243, 0.073153, 0.422470, -0.108632
0.197970, -5.314602, 1.837395, -0.881240, 0.073318, 0.422422, -0.108635
0.202843, -5.314628, 1.837396, -0.885244, 0.073204, 0.422489, -0.108634
0.207725, -5.314628, 1.837396, -0.885244, 0.073204, 0.422489, -0.108634
0.212596, -5.314628, 1.837396, -0.885244, 0.073204, 0.422489, -0.108634
0.217417, -5.314636, 1.837486, -0.881285, 0.073205, 0.422623, -0.108636
0.222305, -5.314632, 1.834758, -0.885115, 0.073172, 0.422494, -0.108563
0.227145, -5.314607, 1.834794, -0.889123, 0.073288, 0.422560, -0.108562
0.231913, -5.314607, 1.834794, -0.889123, 0.073288, 0.422560, -0.108562
0.236725, -5.314607, 1.834794, -0.889123, 0.073288, 0.422560, -0.108562
0.241595, -5.314628, 1.837396, -0.885244, 0.073204, 0.422489, -0.108634
0.246468, -5.314585, 1.837520, -0.881289, 0.073435, 0.422622, -0.108636
0.251314, -5.314628, 1.837396, -0.885244, 0.073204, 0.422489, -0.108634
0.256050, -5.314607, 1.834794, -0.889123, 0.073288, 0.422560, -0.108562
0.260864, -5.314605, 1.834758, -0.881111, 0.073286, 0.422427, -0.108564
0.265758, -5.314577, 1.837430, -0.885248, 0.073434, 0.422488, -0.108633
0.270628, -5.314628, 1.837396, -0.885244, 0.073204, 0.422489, -0.108634
0.275541, -5.314602, 1.837395, -0.881240, 0.073318, 0.422422, -0.108635
0.280124, -5.314628, 1.837396, -0.885244, 0.073204, 0.422489, -0.108634
0.284931, -5.314640, 1.834849, -0.881155, 0.073173, 0.422628, -0.108565
0.289794, -5.314607, 1.834794, -0.889123, 0.073288, 0.422560, -0.108562
0.294625, -5.314628, 1.837396, -0.885244, 0.073204, 0.422489, -0.108634
0.299503, -5.314612, 1.837521, -0.885293, 0.073321, 0.422689, -0.108635
0.304039, -5.314640, 1.834849, -0.881155, 0.073173, 0.422628, -0.108565
0.308849, -5.312414, 1.833489, -0.881239, 0.073267, 0.422403, -0.108632
0.313688, -5.312417, 1.833525, -0.889251, 0.073269, 0.422536, -0.108630
0.318543, -5.314632, 1.834758, -0.885115, 0.073172, 0.422494, -0.108563
0.323298, -5.314628, 1.837396, -0.885244, 0.073204, 0.422489, -0.108634
