0.0074219704, 7570.0000000000, -2466.0000000000, 0.0000000000, 7264.0000000000, 1033.0000000000, 0.0000000000, 6995.0000000000, 2623.0000000000, 0.0000000000, 6434.0000000000, 618.0000000000, 0.0000000000, 8268.0000000000, -1794.0000000000, 0.0000000000, 9653.0000000000, 6010.0000000000, 0.0000000000
0.0154409409, 7570.0000000000, -1939.0000000000, 0.0000000000, 7264.0000000000, 583.0000000000, 0.0000000000, 6995.0000000000, 2623.0000000000, 0.0000000000, 6434.0000000000, 618.0000000000, 0.0000000000, 8268.0000000000, -1794.0000000000, 0.0000000000, 9653.0000000000, 6010.0000000000, 0.0000000000
0.0234508514, 7570.0000000000, -1737.0000000000, 0.0000000000, 7264.0000000000, 108.0000000000, 0.0000000000, 6995.0000000000, 2623.0000000000, 0.0000000000, 6434.0000000000, 618.0000000000, 0.0000000000, 8268.0000000000, -1794.0000000000, 0.0000000000, 9653.0000000000, 6010.0000000000, 0.0000000000
0.0314059258, 7570.0000000000, -1735.0000000000, 0.0000000000, 7264.0000000000, 619.0000000000, 0.0000000000, 6995.0000000000, 2623.0000000000, 0.0000000000, 6434.0000000000, 618.0000000000, 0.0000000000, 8268.0000000000, -1794.0000000000, 0.0000000000, 9653.0000000000, 6010.0000000000, 0.0000000000
0.0395619869, 7570.0000000000, -847.0000000000, 0.0000000000, 7264.0000000000, -56.0000000000, 0.0000000000, 6995.0000000000, 2598.0000000000, 0.0000000000, 6434.0000000000, 618.0000000000, 0.0000000000, 8268.0000000000, -1794.0000000000, 0.0000000000, 9653.0000000000, 6010.0000000000, 0.0000000000
0.0475268364, 7570.0000000000, -1420.0000000000, 0.0000000000, 7264.0000000000, 305.0000000000, 0.0000000000, 6995.0000000000, 2598.0000000000, 0.0000000000, 6434.0000000000, 618.0000000000, 0.0000000000, 8268.0000000000, -1794.0000000000, 0.0000000000, 9653.0000000000, 6010.0000000000, 0.0000000000
0.0555610657, 7570.0000000000, -1007.0000000000, 0.0000000000, 7264.0000000000, 616.0000000000, 0.0000000000, 6995.0000000000, 2598.0000000000, 0.0000000000, 6434.0000000000, 618.0000000000, 0.0000000000, 8268.0000000000, -1794.0000000000, 0.0000000000, 9653.0000000000, 6010.0000000000, 0.0000000000
0.0635490417, 7570.0000000000, -1905.0000000000, 0.0000000000, 7264.0000000000, 927.0000000000, 0.0000000000, 6995.0000000000, 2598.0000000000, 0.0000000000, 6434.0000000000, 618.0000000000, 0.0000000000, 8268.0000000000, -1794.0000000000, 0.0000000000, 9653.0000000000, 6010.0000000000, 0.0000000000
0.0717039108, 7570.0000000000, -2042.0000000000, 0.0000000000, 7264.0000000000, 227.0000000000, 0.0000000000, 6995.0000000000, 2598.0000000000, 0.0000000000, 6434.0000000000, 618.0000000000, 0.0000000000, 8268.0000000000, -1794.0000000000, 0.0000000000, 9653.0000000000, 6010.0000000000, 0.0000000000
0.0795760155, 7570.0000000000, -2354.0000000000, 0.0000000000, 7264.0000000000, 688.0000000000, 0.0000000000, 6995.0000000000, 2598.0000000000, 0.0000000000, 6434.0000000000, 618.0000000000, 0.0000000000, 8268.0000000000, -1794.0000000000, 0.0000000000, 9653.0000000000, 6010.0000000000, 0.0000000000
0.0876989365, 7570.0000000000, -1805.0000000000, 0.0000000000, 7264.0000000000, 1224.0000000000, 0.0000000000, 6995.0000000000, 2598.0000000000, 0.0000000000, 6434.0000000000, 618.0000000000, 0.0000000000, 8268.0000000000, -1794.0000000000, 0.0000000000, 9653.0000000000, 6010.0000000000, 0.0000000000
0.0956699848, 7570.0000000000, -2492.0000000000, 0.0000000000, 7264.0000000000, 649.0000000000, 0.0000000000, 6995.0000000000, 2598.0000000000, 0.0000000000, 6434.0000000000, 618.0000000000, 0.0000000000, 8268.0000000000, -1794.0000000000, 0.0000000000, 9653.0000000000, 6010.0000000000, 0.0000000000
0.1036548615, 7570.0000000000, -1282.0000000000, 0.0000000000, 7264.0000000000, 1160.0000000000, 0.0000000000, 6995.0000000000, 2598.0000000000, 0.0000000000, 6434.0000000000, 618.0000000000, 0.0000000000, 8268.0000000000, -1794.0000000000, 0.0000000000, 9653.0000000000, 6010.0000000000, 0.0000000000
0.1118478775, 7570.0000000000, -1358.0000000000, 0.0000000000, 7264.0000000000, 485.0000000000, 0.0000000000, 6995.0000000000, 2598.0000000000, 0.0000000000, 6434.0000000000, 618.0000000000, 0.0000000000, 8268.0000000000, -1794.0000000000, 0.0000000000, 9653.0000000000, 6010.0000000000, 0.0000000000
0.1198489666, 7570.0000000000, -673.0000000000, 0.0000000000, 7264.0000000000, 821.0000000000, 0.0000000000, 6995.0000000000, 2598.0000000000, 0.0000000000, 6434.0000000000, 618.0000000000, 0.0000000000, 8268.0000000000, -1794.0000000000, 0.0000000000, 9653.0000000000, 6010.0000000000, 0.0000000000
0.1276829243, 7570.0000000000, -1349.0000000000, 0.0000000000, 7264.0000000000, -104.0000000000, 0.0000000000, 6995.0000000000, 2598.0000000000, 0.0000000000, 6434.0000000000, 618.0000000000, 0.0000000000, 8268.0000000000, -1794.0000000000, 0.0000000000, 9653.0000000000, 6010.0000000000, 0.0000000000
0.1358270645, 7570.0000000000, -1164.0000000000, 0.0000000000, 7264.0000000000, 32.0000000000, 0.0000000000, 6995.0000000000, 2573.0000000000, 0.0000000000, 6434.0000000000, 618.0000000000, 0.0000000000, 8268.0000000000, -1794.0000000000, 0.0000000000, 9653.0000000000, 6010.0000000000, 0.0000000000
