0.00740, -5.19682, -0.00000, 0.39361, 0.01222, -1.64997, -4.97009, -1.25990, -0.18300, -0.02288, 0.00458
0.01542, -4.96934, -0.00000, 0.39371, 0.01283, -1.78224, -5.05977, -1.26886, -0.15403, -0.01525, 0.01525
0.02343, -4.82107, -0.00000, 0.39380, 0.01461, -1.76879, -4.99924, -1.24645, -0.16928, -0.01830, 0.02593
0.03139, -4.75614, -0.00000, 0.39392, 0.01751, -1.65221, -4.92526, -1.22179, -0.17995, -0.02288, 0.02593
0.03955, -5.04089, -0.00000, 0.39405, 0.01993, -1.43028, -4.65176, -1.23748, -0.14335, -0.02440, 0.01983
0.04751, -5.30277, -0.00000, 0.39421, 0.02256, -1.28680, -4.43206, -1.23524, -0.16928, -0.01220, 0.02135
0.05555, -5.54554, -0.00000, 0.39439, 0.02294, -1.42579, -4.24823, -1.23075, -0.16775, -0.01373, 0.00915
0.06354, -5.77598, -0.00000, 0.39458, 0.02153, -1.53116, -4.27962, -1.22403, -0.16165, -0.01220, 0.02593
0.07169, -6.01374, -0.00000, 0.39474, 0.01939, -1.74189, -4.45224, -1.24420, -0.15708, -0.00610, 0.01220
0.07957, -6.17673, -0.00000, 0.39493, 0.01715, -1.71947, -4.63831, -1.18143, -0.15708, -0.02135, 0.01525
0.08769, -6.07737, -0.00000, 0.39508, 0.01682, -1.91675, -4.87594, -1.20161, -0.16165, -0.02440, 0.02288
0.09566, -5.77633, -0.00000, 0.39521, 0.01612, -2.22612, -5.04183, -1.20161, -0.17233, -0.00915, 0.00610
0.10364, -5.36009, -0.00000, 0.39533, 0.01751, -2.04677, -5.13599, -1.19264, -0.18606, -0.02898, 0.01220
0.11184, -5.08403, -0.00000, 0.39548, 0.02022, -1.97055, -5.06873, -1.22627, -0.16318, -0.01830, -0.00153
0.11984, -5.00470, -0.00000, 0.39560, 0.02373, -1.48632, -4.90284, -1.19489, -0.19521, -0.01220, 0.01678
0.12767, -5.23281, -0.00000, 0.39581, 0.02672, -1.24869, -4.57554, -1.20385, -0.17233, -0.01678, 0.01983
0.13582, -5.40296, -0.00000, 0.39599, 0.02746, -0.95725, -4.50380, -1.18143, -0.17233, -0.00915, -0.00458
0.14382, -5.59824, -0.00000, 0.39621, 0.02483, -1.24196, -4.62710, -1.20609, -0.17538, -0.02135, -0.00610
0.15183, -5.44734, -0.00000, 0.39643, 0.02234, -1.41010, -4.92974, -1.19713, -0.17233, -0.01983, 0.01983
0.15984, -4.98492, -0.00000, 0.39663, 0.02174, -1.88312, -5.16737, -1.16798, -0.17080, -0.01373, 0.00915
0.16794, -4.41854, -0.00000, 0.39682, 0.02261, -2.21267, -5.28619, -1.17919, -0.17233, -0.01830, -0.00610
0.17596, -3.98383, -0.00000, 0.39702, 0.02506, -2.38977, -5.23239, -1.18368, -0.17538, 0.00763, 0.01983
0.18397, -3.79658, -0.00000, 0.39722, 0.02862, -2.58257, -5.04407, -1.15229, -0.16013, -0.01983, -0.00458
0.19214, -4.00339, -0.00000, 0.39743, 0.03124, -2.25975, -4.75488, -1.15902, -0.17080, -0.00763, 0.01830
0.20010, -4.25918, -0.00000, 0.39767, 0.03083, -1.63428, -4.63158, -1.15229, -0.16928, -0.00915, 0.01983
0.20809, -4.34476, -0.00000, 0.39792, 0.02924, -1.39216, -4.77954, -1.14557, -0.14640, -0.03203, 0.01220
0.21609, -4.21272, -0.00000, 0.39819, 0.02845, -1.32715, -4.94768, -1.15677, -0.15555, -0.02593, 0.01068
0.22408, -4.05117, -0.00000, 0.39843, 0.03019, -1.35181, -4.96337, -1.13436, -0.15250, -0.02593, 0.01373
0.23225, -4.14171, -0.00000, 0.39865, 0.03246, -1.50201, -4.77730, -1.12091, -0.17233, -0.01983, 0.01068
0.24010, -4.36999, -0.00000, 0.39889, 0.03459, -1.83380, -4.59571, -1.13211, -0.15250, -0.02135, 0.01068
0.24827, -4.59235, -0.00000, 0.39916, 0.03359, -1.97055, -4.53742, -1.12987, -0.16013, -0.02135, 0.02288
0.25644, -4.64366, -0.00000, 0.39944, 0.03060, -2.18577, -4.80196, -1.11866, -0.17843, -0.02898, 0.01373
0.26429, -4.30728, -0.00000, 0.39972, 0.02922, -2.18801, -5.08891, -1.11418, -0.15708, -0.01983, 0.01220
