0.051144, 5828.0000000000, 2033.0000000000, 0.0000000000
0.058574, 5828.0000000000, 2452.0000000000, 0.0000000000
0.066534, 5828.0000000000, 1635.0000000000, 0.0000000000
0.074723, 5828.0000000000, 1754.0000000000, 0.0000000000
0.082546, 5828.0000000000, 1823.0000000000, 0.0000000000
0.090686, 5828.0000000000, 1642.0000000000, 0.0000000000
0.098870, 5828.0000000000, 2472.0000000000, 0.0000000000
0.106810, 5828.0000000000, 2116.0000000000, 0.0000000000
0.114860, 5828.0000000000, 2621.0000000000, 0.0000000000
0.122877, 5828.0000000000, 1765.0000000000, 0.0000000000
0.130863, 5828.0000000000, 1895.0000000000, 0.0000000000
0.138857, 5828.0000000000, 1875.0000000000, 0.0000000000
0.146905, 5828.0000000000, 1680.0000000000, 0.0000000000
0.155024, 5828.0000000000, 1285.0000000000, 0.0000000000
0.162850, 5828.0000000000, 1851.0000000000, 0.0000000000
0.170990, 5828.0000000000, 1206.0000000000, 0.0000000000
0.178989, 5828.0000000000, 1547.0000000000, 0.0000000000
0.187024, 5828.0000000000, 1788.0000000000, 0.0000000000
0.195023, 5828.0000000000, 1954.0000000000, 0.0000000000
0.203171, 5828.0000000000, 1995.0000000000, 0.0000000000
0.211162, 5828.0000000000, 1886.0000000000, 0.0000000000
0.219158, 5828.0000000000, 2738.0000000000, 0.0000000000
0.227162, 5828.0000000000, 2329.0000000000, 0.0000000000
0.235320, 5828.0000000000, 1720.0000000000, 0.0000000000
0.243304, 5828.0000000000, 1997.0000000000, 0.0000000000
0.251278, 5828.0000000000, 2149.0000000000, 0.0000000000
0.259305, 5828.0000000000, 2126.0000000000, 0.0000000000
0.267439, 5828.0000000000, 1978.0000000000, 0.0000000000
0.291427, 5828.0000000000, 1970.0000000000, 0.0000000000
0.299399, 5828.0000000000, 2508.0000000000, 0.0000000000
0.323557, 5828.0000000000, 1911.0000000000, 0.0000000000
0.331590, 5828.0000000000, 1699.0000000000, 0.0000000000
0.355780, 5828.0000000000, 2435.0000000000, 0.0000000000
0.363561, 5828.0000000000, 2834.0000000000, 0.0000000000
0.387742, 5828.0000000000, 2095.0000000000, 0.0000000000
0.395846, 5828.0000000000, 1844.0000000000, 0.0000000000
0.419879, 5828.0000000000, 2288.0000000000, 0.0000000000
0.427858, 5828.0000000000, 2623.0000000000, 0.0000000000
0.452017, 5828.0000000000, 1667.0000000000, 0.0000000000
0.460022, 5828.0000000000, 1327.0000000000, 0.0000000000
0.484036, 5828.0000000000, 2765.0000000000, 0.0000000000
0.492151, 5828.0000000000, 1950.0000000000, 0.0000000000
0.516160, 5828.0000000000, 1788.0000000000, 0.0000000000
0.524279, 5828.0000000000, 2495.0000000000, 0.0000000000
0.548454, 5828.0000000000, 2830.0000000000, 0.0000000000
0.556425, 5828.0000000000, 1951.0000000000, 0.0000000000
0.580284, 5828.0000000000, 2633.0000000000, 0.0000000000
0.588589, 5828.0000000000, 2215.0000000000, 0.0000000000
0.612466, 5828.0000000000, 2047.0000000000, 0.0000000000
0.620557, 5828.0000000000, 1554.0000000000, 0.0000000000
0.644775, 5828.0000000000, 2472.0000000000, 0.0000000000
0.652715, 5828.0000000000, 2129.0000000000, 0.0000000000
0.676722, 5828.0000000000, 1986.0000000000, 0.0000000000
0.684748, 5828.0000000000, 2729.0000000000, 0.0000000000
0.708902, 5828.0000000000, 1750.0000000000, 0.0000000000
0.716881, 5828.0000000000, 2468.0000000000, 0.0000000000
0.741060, 5828.0000000000, 2575.0000000000, 0.0000000000
0.749057, 5828.0000000000, 2307.0000000000, 0.0000000000
0.773176, 5828.0000000000, 1853.0000000000, 0.0000000000
0.781052, 5828.0000000000, 2446.0000000000, 0.0000000000
0.805328, 5828.0000000000, 2303.0000000000, 0.0000000000
0.813165, 5828.0000000000, 1810.0000000000, 0.0000000000
0.837333, 5828.0000000000, 2939.0000000000, 0.0000000000
0.845322, 5828.0000000000, 2360.0000000000, 0.0000000000
0.869283, 5828.0000000000, 1542.0000000000, 0.0000000000
0.877441, 5828.0000000000, 2360.0000000000, 0.0000000000
0.901629, 5828.0000000000, 1656.0000000000, 0.0000000000
0.909423, 5828.0000000000, 2449.0000000000, 0.0000000000
0.933605, 5828.0000000000, 2245.0000000000, 0.0000000000
0.941597, 5828.0000000000, 1977.0000000000, 0.0000000000
0.965768, 5828.0000000000, 1948.0000000000, 0.0000000000
0.973753, 5828.0000000000, 2205.0000000000, 0.0000000000
0.997928, 5828.0000000000, 2154.0000000000, 0.0000000000
1.005915, 5828.0000000000, 1950.0000000000, 0.0000000000
1.030068, 5828.0000000000, 2413.0000000000, 0.0000000000
1.038049, 5828.0000000000, 2959.0000000000, 0.0000000000
1.062183, 5828.0000000000, 2114.0000000000, 0.0000000000
1.070212, 5828.0000000000, 2024.0000000000, 0.0000000000
1.094371, 5828.0000000000, 2779.0000000000, 0.0000000000
1.102357, 5828.0000000000, 3439.0000000000, 0.0000000000
1.126370, 5828.0000000000, 2911.0000000000, 0.0000000000
1.134339, 5828.0000000000, 1749.0000000000, 0.0000000000
1.158523, 5828.0000000000, 2696.0000000000, 0.0000000000
1.166458, 5828.0000000000, 3395.0000000000, 0.0000000000
1.190653, 5828.0000000000, 2984.0000000000, 0.0000000000
1.198595, 5828.0000000000, 2011.0000000000, 0.0000000000
1.222649, 5828.0000000000, 3025.0000000000, 0.0000000000
1.230638, 5828.0000000000, 2552.0000000000, 0.0000000000
1.254926, 5828.0000000000, 3444.0000000000, 0.0000000000
1.262760, 5828.0000000000, 2535.0000000000, 0.0000000000
