6, 7.97734, -0.913146, 5.70731, -0.736676, -0.208605, -0.118189, -0.0380705, 0.0234498, 0.0306996
10, 7.96998, -0.946354, 5.76252, -0.748112, -0.208679, -0.132927, -0.0372512, 0.0268372, 0.0216148
14, 7.91117, -0.964826, 5.77879, -0.748646, -0.209511, -0.133493, -0.0336359, 0.0314352, 0.0251195
17, 7.99574, -0.968565, 5.78024, -0.737329, -0.220159, -0.12259, -0.0296318, 0.0169049, 0.0250123
21, 8.01793, -1.02791, 5.78362, -0.737853, -0.220626, -0.122889, -0.0324659, 0.0168046, 0.0191231
25, 8.0289, -1.00195, 5.78503, -0.737004, -0.220478, -0.123877, -0.0333945, 0.0104097, 0.0158961
29, 8.03441, -0.987165, 5.76835, -0.745391, -0.210412, -0.129671, -0.0328274, 0.0241299, 0.0164709
32, 8.00689, -1.00944, 5.76005, -0.74575, -0.210936, -0.129181, -0.0306824, 0.0277883, 0.00713319
36, 8.01435, -1.0392, 5.73258, -0.739606, -0.218147, -0.124513, -0.0261422, 0.0177161, 0.015099
40, 7.99958, -1.01322, 5.73649, -0.740094, -0.218281, -0.124024, -0.0251969, 0.0108275, 0.0204306
44, 7.98488, -1.01692, 5.7369, -0.738894, -0.217347, -0.125628, -0.0240122, 0.0146336, 0.0324733
47, 7.97776, -1.10605, 5.70463, -0.742789, -0.214305, -0.126459, -0.0213192, 0.0219516, 0.0308793
51, 7.98121, -1.01141, 5.71868, -0.744388, -0.214652, -0.127862, -0.0192803, 0.0214884, 0.0290067
54, 8.0216, -0.95222, 5.67343, -0.743225, -0.215102, -0.12767, -0.0336181, 0.012414, 0.0357017
59, 8.01221, -0.876104, 5.69523, -0.741947, -0.215159, -0.127725, -0.0309717, 0.0279861, 0.0175766
62, 8.01206, -0.798247, 5.68204, -0.743523, -0.215285, -0.128602, -0.0430649, 0.0279207, 0.0272528
65, 7.98453, -0.824182, 5.68838, -0.740387, -0.216911, -0.127401, -0.0396028, 0.0225306, 0.0261663
69, 7.95693, -0.779817, 5.63769, -0.741294, -0.217781, -0.124998, -0.0418776, 0.03379, 0.0310453
73, 7.89622, -0.735391, 5.60249, -0.741146, -0.216634, -0.127182, -0.0327742, 0.0299366, 0.0313093
77, 7.90337, -0.635269, 5.59265, -0.742897, -0.216098, -0.126236, -0.0229841, 0.0289968, 0.0197854
80, 7.86862, -0.715034, 5.58482, -0.742982, -0.215982, -0.128061, -0.0230098, 0.0153231, 0.0269712
84, 7.85581, -0.744703, 5.58531, -0.741372, -0.217928, -0.126697, -0.0252247, 0.00968952, 0.0245603
88, 7.90733, -0.765123, 5.58589, -0.740386, -0.2186, -0.124828, -0.032481, 0.0179769, 0.0235124
